Date,IAV,IAV_nov,IAV_case,IAV_5,IAV_nov_5,IAV_0,IAV_nov_0
2022/10/2,,,47.71428571,,,,
2022/10/3,,,47.71428571,,,,
2022/10/4,,,47.71428571,,,,
2022/10/5,,,47.71428571,,,,
2022/10/6,,,47.71428571,,,,
2022/10/7,,,47.71428571,,,,
2022/10/8,,,47.71428571,,,,
2022/10/9,,,47.71428571,,,,
2022/10/10,,,66.28571429,,,,
2022/10/11,,,66.28571429,,,,
2022/10/12,,,66.28571429,,,,
2022/10/13,,,66.28571429,,,,
2022/10/14,,,66.28571429,,,,
2022/10/15,,,66.28571429,,,,
2022/10/16,,,66.28571429,,,,
2022/10/17,,,128.5714286,,,,
2022/10/18,,,128.5714286,,,,
2022/10/19,,,128.5714286,,,,
2022/10/20,,,128.5714286,,,,
2022/10/21,,,128.5714286,,,,
2022/10/22,,,128.5714286,,,,
2022/10/23,,,128.5714286,,,,
2022/10/24,,,325.5714286,,,,
2022/10/25,,,325.5714286,,,,
2022/10/26,,,325.5714286,,,,
2022/10/27,,,325.5714286,,,,
2022/10/28,4.116834795,-4.396224711,325.5714286,4.116834795,-4.396224711,4.136584544,-4.411436151
2022/10/29,,,325.5714286,,,,
2022/10/30,,,325.5714286,,,,
2022/10/31,,,688.4285714,,,,
2022/11/1,4.418062809,-4.477498177,688.4285714,4.453618628,-4.021923401,4.228721565,-4.152754526
2022/11/2,4.418062809,-4.477498177,688.4285714,4.418062809,-4.477498177,4.678515691,-3.891092277
2022/11/3,,,688.4285714,,,,
2022/11/4,4.436918576,-4.395615332,688.4285714,4.512733431,-4.639870003,4.346951171,-5.388647728
2022/11/5,,,688.4285714,,,,
2022/11/6,,,688.4285714,,,,
2022/11/7,4.372852621,-4.447260849,813.8571429,4.291912554,-4.220732184,4.493485878,-4.149966799
2022/11/8,,,813.8571429,,,,
2022/11/9,4.381486437,-4.133465222,813.8571429,4.381486437,-4.133465222,4.09033923,-4.29149757
2022/11/10,4.381486437,-4.133465222,813.8571429,4.325486717,-4.125214434,4.560634203,-3.958931297
2022/11/11,,,813.8571429,,,,
2022/11/12,,,813.8571429,,,,
2022/11/13,,,813.8571429,,,,
2022/11/14,,,805.8571429,,,,
2022/11/15,,,805.8571429,,,,
2022/11/16,4.865264978,-3.864479064,805.8571429,4.865264978,-3.864479064,5.053568634,-3.684498081
2022/11/17,4.865264978,-3.864479064,805.8571429,4.865264978,-3.864479064,4.815763329,-3.877171673
2022/11/18,4.865264978,-3.864479064,805.8571429,4.865264978,-3.864479064,4.726462971,-4.031767438
2022/11/19,,,805.8571429,,,,
2022/11/20,,,805.8571429,,,,
2022/11/21,,,1419.428571,,,,
2022/11/22,4.847435896,-3.932593232,1419.428571,4.847435896,-3.932593232,4.847435896,-3.932593232
2022/11/23,,,1419.428571,,,,
2022/11/24,,,1419.428571,,,,
2022/11/25,,,1419.428571,,,,
2022/11/26,,,1419.428571,,,,
2022/11/27,,,1419.428571,,,,
2022/11/28,,,1520.571429,,,,
2022/11/29,,,1520.571429,,,,
2022/11/30,5.130495519,-3.918254315,1520.571429,5.130495519,-3.918254315,5.511676971,-4.080055268
2022/12/1,5.130495519,-3.918254315,1520.571429,5.130495519,-3.918254315,4.775318505,-3.747386488
2022/12/2,5.130495519,-3.918254315,1520.571429,5.130495519,-3.918254315,5.104491082,-3.927321189
2022/12/3,,,1520.571429,,,,
2022/12/4,,,1520.571429,,,,
2022/12/5,,,1350,,,,
2022/12/6,,,1350,,,,
2022/12/7,5.087177548,-3.320720795,1350,5.087177548,-3.320720795,5.050476745,-3.374343122
2022/12/8,5.103540822,-3.302451534,1350,5.103540822,-3.302451534,5.144764699,-3.239409439
2022/12/9,,,1350,,,,
2022/12/10,,,1350,,,,
2022/12/11,,,1350,,,,
2022/12/12,,,1089,,,,
2022/12/13,,,1089,,,,
2022/12/14,4.92013801,-3.464146875,1089,4.92013801,-3.464146875,4.622258153,-3.817719633
2022/12/15,4.938586089,-3.439543962,1089,4.938586089,-3.439543962,5.206243781,-3.349092547
2022/12/16,4.897854338,-3.459043583,1089,4.920984522,-3.466847419,4.961133072,-3.203358195
2022/12/17,,,1089,,,,
2022/12/18,,,1089,,,,
2022/12/19,5.014026198,-3.321859971,820,4.828272183,-3.435240428,4.824043747,-3.441371942
2022/12/20,,,820,,,,
2022/12/21,,,820,,,,
2022/12/22,5.039286169,-3.383731226,820,5.253345134,-3.327615326,5.248438632,-3.335303904
2022/12/23,,,820,,,,
2022/12/24,,,820,,,,
2022/12/25,,,820,,,,
2022/12/26,,,593.5714286,,,,
2022/12/27,4.475657622,-3.790003703,593.5714286,4.475657622,-3.790003703,4.461784045,-3.740621942
2022/12/28,,,593.5714286,,,,
2022/12/29,4.475657622,-3.790003703,593.5714286,4.475657622,-3.790003703,4.484054116,-3.840797817
2022/12/30,,,593.5714286,,,,
2022/12/31,,,593.5714286,,,,
2023/1/1,,,593.5714286,,,,
2023/1/2,,,343.8571429,,,,
2023/1/3,4.546915166,-3.817926024,343.8571429,4.627878477,-3.71169584,5.07648025,-3.513699198
2023/1/4,,,343.8571429,,,,
2023/1/5,4.546915166,-3.817926024,343.8571429,4.546915166,-3.817926024,4.177949676,-3.907543086
2023/1/6,4.545829465,-3.810441439,343.8571429,4.273427615,-3.96661885,4.378216844,-4.030362282
2023/1/7,,,343.8571429,,,,
2023/1/8,,,343.8571429,,,,
2023/1/9,,,135.7142857,,,,
2023/1/10,,,135.7142857,,,,
2023/1/11,4.093985888,-4.510060184,135.7142857,4.093985888,-4.510060184,4.0608648,-4.537994886
2023/1/12,4.097512763,-4.506780686,135.7142857,4.097512763,-4.506780686,4.085866912,-4.521051614
2023/1/13,4.091646158,-4.510820672,135.7142857,4.091646158,-4.510820672,4.133678299,-4.46985965
2023/1/14,,,135.7142857,,,,
2023/1/15,,,135.7142857,,,,
2023/1/16,,,83.71428571,,,,
2023/1/17,,,83.71428571,,,,
2023/1/18,3.570299527,-4.905610015,83.71428571,3.570299527,-4.905610015,3.360120704,-5.259085464
2023/1/19,3.557766181,-4.916401048,83.71428571,3.557766181,-4.916401048,3.727302051,-4.632533431
2023/1/20,3.573052292,-4.904609609,83.71428571,3.576656675,-4.896828159,3.629408018,-4.8088087
2023/1/21,,,83.71428571,,,,
