Date,IAV,IAV_nov,IAV_case,IAV_5,IAV_nov_5,IAV_0,IAV_nov_0
2022/10/3,,,6.285714286,,,,
2022/10/4,,,6.285714286,,,,
2022/10/5,,,6.285714286,,,,
2022/10/6,,,6.285714286,,,,
2022/10/7,,,6.285714286,,,,
2022/10/8,,,6.285714286,,,,
2022/10/9,,,9,,,,
2022/10/10,,,9,,,,
2022/10/11,,,9,,,,
2022/10/12,,,9,,,,
2022/10/13,,,9,,,,
2022/10/14,,,9,,,,
2022/10/15,,,9,,,,
2022/10/16,,,12.42857143,,,,
2022/10/17,,,12.42857143,,,,
2022/10/18,,,12.42857143,,,,
2022/10/19,,,12.42857143,,,,
2022/10/20,,,12.42857143,,,,
2022/10/21,,,12.42857143,,,,
2022/10/22,,,12.42857143,,,,
2022/10/23,,,20.57142857,,,,
2022/10/24,,,20.57142857,,,,
2022/10/25,,,20.57142857,,,,
2022/10/26,,,20.57142857,,,,
2022/10/27,,,20.57142857,,,,
2022/10/28,,,20.57142857,,,,
2022/10/29,,,20.57142857,,,,
2022/10/30,,,47.85714286,,,,
2022/10/31,3.938210496,-5.120268661,47.85714286,3.938210496,-5.120268661,3.90052366,-5.131967883
2022/11/1,,,47.85714286,,,,
2022/11/2,3.923132585,-5.100873878,47.85714286,3.923132585,-5.100873878,3.975897332,-5.10856944
2022/11/3,,,47.85714286,,,,
2022/11/4,3.89103438,-5.171857053,47.85714286,3.904410794,-5.13632137,3.833999837,-5.126233036
2022/11/5,,,47.85714286,,,,
2022/11/6,,,97.71428571,,,,
2022/11/7,4.000351318,-5.003776349,97.71428571,4.022163708,-5.000310467,3.968266254,-5.135590197
2022/11/8,,,97.71428571,,,,
2022/11/9,4.138448441,-4.872902137,97.71428571,4.138448441,-4.872902137,4.076061163,-4.865030738
2022/11/10,,,97.71428571,,,,
2022/11/11,4.150294503,-4.856973249,97.71428571,4.143686886,-4.821557164,4.327697054,-4.658357727
2022/11/12,,,97.71428571,,,,
2022/11/13,,,168,,,,
2022/11/14,4.385011701,-4.717985311,168,4.40054336,-4.767402354,4.236882872,-4.819519681
2022/11/15,,,168,,,,
2022/11/16,4.447042099,-4.627773063,168,4.447042099,-4.627773063,4.564203847,-4.715285026
2022/11/17,,,168,,,,
2022/11/18,4.602294357,-4.454173008,168,4.576195729,-4.539045413,4.549455729,-4.335848939
2022/11/19,,,168,,,,
2022/11/20,,,293,,,,
2022/11/21,4.756780343,-4.19583116,293,4.799748577,-4.185260665,4.689687851,-4.225732066
2022/11/22,,,293,,,,
2022/11/23,4.829866137,-4.199040786,293,4.829866137,-4.199040786,4.909809303,-4.144789264
2022/11/24,,,293,,,,
2022/11/25,4.97498465,-4.114571691,293,4.781190081,-4.329506995,4.810737443,-4.347323351
2022/11/26,,,293,,,,
2022/11/27,,,380.7142857,,,,
2022/11/28,5.050716543,-4.04142846,380.7142857,5.150556228,-3.928575477,5.305582414,-3.703566761
2022/11/29,,,380.7142857,,,,
2022/11/30,5.102231378,-3.922272377,380.7142857,5.102231378,-3.922272377,4.995530042,-4.153584192
2022/12/1,,,380.7142857,,,,
2022/12/2,4.917431817,-4.121411727,380.7142857,4.983828909,-4.062193572,4.994902977,-3.921340354
2022/12/3,,,380.7142857,,,,
2022/12/4,,,418.5714286,,,,
2022/12/5,4.857287708,-4.105274801,418.5714286,4.803349218,-4.197744986,4.788718244,-4.187613603
2022/12/6,,,418.5714286,,,,
